call_id,call_outcome,rep_id,rep_tenure,cuisine_type,restaurant_type,num_locations,call_duration_min,owner_name_used_in_opening,referral_used,referral_specificity,referral_pivot_quality,research_hook_used,discovery_question_asked,discovery_asked_order_source,discovery_asked_marketing,discovery_asked_priority,discovery_asked_other,rep_used_prospect_answer,prospect_language_mirrored,commission_math_specific,third_party_handling,google_visibility_angle_used,social_proof_used,pos_integration_raised,tried_before_objection_handled,no_commitment_close_used,pricing_disclosed_proactively,specific_time_proposed,email_secured,graceful_exit_on_rejection,call_type
call_012,demo_booked,rep_04,senior,American,full_service,1,2,True,True,detailed,weak,not_used,before_pitch,True,False,False,True,implicit,paraphrased,not_mentioned,proactive_reframe,not_used,none,not_applicable,not_raised,False,not_applicable,open_ended,True,graceful,cold_outreach
call_014,demo_booked,rep_09,mid,American,full_service,1,2,True,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,open_ended,False,not_applicable,inbound_followup
call_069,demo_booked,rep_13,new,American,quick_service,3663,9,True,False,not_used,not_needed,not_used,before_pitch,True,False,True,True,implicit,paraphrased,not_mentioned,reactive_generic,not_used,none,not_raised,not_raised,False,not_applicable,open_ended,False,not_applicable,inbound_followup
call_074,demo_booked,rep_06,mid,American,full_service,1,7,True,False,not_used,not_needed,generic,after_pitch,False,False,False,True,implicit,paraphrased,not_mentioned,not_raised,generic,none,reactive,not_raised,True,not_applicable,open_ended,False,not_applicable,inbound_followup
call_075,demo_booked,rep_03,senior,American,full_service,1,3,True,True,detailed,strong,specific_findings,before_pitch,True,False,False,False,explicit,paraphrased,generic,proactive_reframe,specific,none,not_applicable,not_raised,False,not_applicable,specific,True,not_applicable,cold_outreach
call_054,demo_booked,rep_11,new,American,quick_service,23,14,True,False,not_used,not_needed,specific_findings,none,False,False,False,False,implicit,not_mirrored,generic,proactive_reframe,specific,specific_numbers,reactive,weak,False,proactive,specific,False,not_applicable,in_flight_followup
call_078,demo_booked,rep_08,mid,American,full_service,1,18,True,True,detailed,strong,specific_findings,before_pitch,True,True,False,False,explicit,paraphrased,specific_dollars,proactive_reframe,specific,specific_numbers,not_applicable,weak,True,reactive,specific,True,graceful,cold_outreach
call_056,demo_booked,rep_08,mid,American,full_service,1,2,False,True,basic,not_needed,specific_findings,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,specific,none,reactive,not_raised,False,not_applicable,open_ended,True,not_applicable,cold_outreach
call_081,demo_booked,rep_08,mid,American,full_service,3,6,False,True,basic,strong,specific_findings,after_pitch,False,False,False,True,implicit,paraphrased,not_mentioned,reactive_generic,generic,scale_reference,reactive,not_raised,False,not_applicable,open_ended,True,not_applicable,cold_outreach
call_073,demo_booked,rep_11,new,American,juice bar,1,3,True,True,basic,strong,generic,after_pitch,True,True,True,True,explicit,paraphrased,not_mentioned,proactive_reframe,generic,specific_numbers,proactive,not_raised,False,not_applicable,specific,False,not_applicable,inbound_followup
call_046,demo_booked,rep_03,senior,American,cafe,2,2,False,False,not_used,not_needed,not_used,after_pitch,False,False,False,True,none,not_mirrored,not_mentioned,not_raised,not_used,none,reactive,weak,False,not_applicable,specific,False,not_applicable,inbound_followup
call_048,demo_booked,rep_02,senior,American,full_service,1,3,False,True,basic,strong,not_used,after_pitch,True,False,False,True,implicit,not_mirrored,generic,proactive_reframe,generic,generic,proactive,not_raised,False,not_applicable,not_reached,True,not_applicable,cold_outreach
call_052,demo_booked,rep_10,mid,Caribbean,quick_service,5,1,True,False,not_used,not_needed,not_used,before_pitch,False,False,False,True,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,specific,False,not_applicable,inbound_followup
call_076,demo_booked,rep_02,senior,Chinese,full_service,1,4,False,False,not_used,not_needed,specific_findings,before_pitch,True,True,False,True,explicit,paraphrased,not_mentioned,reactive_generic,not_used,none,reactive,not_raised,True,not_applicable,open_ended,True,not_applicable,inbound_followup
call_079,demo_booked,rep_02,senior,Chinese,full_service,1,6,True,False,not_used,not_needed,generic,before_pitch,True,False,False,True,explicit,paraphrased,generic,proactive_reframe,generic,generic,not_applicable,not_raised,False,proactive,specific,True,graceful,inbound_followup
call_059,demo_booked,rep_09,mid,Greek,full_service,1,16,True,False,not_used,not_needed,generic,after_pitch,True,True,True,True,explicit,exact_words,generic,reactive_generic,generic,none,not_raised,not_raised,True,reactive,open_ended,False,not_applicable,inbound_followup
call_063,demo_booked,rep_02,senior,Indian,full_service,1,4,True,False,not_used,not_needed,generic,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,generic,none,not_applicable,not_raised,True,not_applicable,open_ended,False,not_applicable,inbound_followup
call_013,demo_booked,rep_12,new,Indian,full_service,1,3,False,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,specific,True,not_applicable,confirmation
call_067,demo_booked,rep_11,new,Indian,full_service,1,13,True,False,not_used,not_needed,generic,after_pitch,False,False,False,True,implicit,not_mirrored,not_mentioned,reactive_generic,generic,none,not_raised,not_raised,False,proactive,open_ended,False,not_applicable,inbound_followup
call_070,demo_booked,rep_10,mid,Indian,full_service,1,2,True,False,not_used,not_needed,not_used,before_pitch,False,False,True,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,not_reached,False,not_applicable,inbound_followup
call_050,demo_booked,,senior,Italian,full_service,1,2,True,False,not_used,not_needed,generic,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,specific,False,not_applicable,confirmation
call_004,demo_booked,rep_12,new,Italian,full_service,2,1,False,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,specific,False,not_applicable,cold_outreach
call_053,demo_booked,rep_08,mid,Italian,full_service,1,11,False,True,basic,not_needed,specific_findings,before_pitch,True,True,True,True,explicit,paraphrased,specific_dollars,proactive_reframe,specific,generic,reactive,not_raised,True,not_applicable,open_ended,False,graceful,cold_outreach
call_009,demo_booked,rep_08,mid,Mediterranean,full_service,1,5,False,False,not_used,no_pivot,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,not_reached,False,not_applicable,inbound_followup
call_064,demo_booked,rep_05,senior,Mediterranean,full_service,1,11,True,True,basic,strong,not_used,after_pitch,False,False,False,True,explicit,paraphrased,not_mentioned,not_raised,generic,scale_reference,not_raised,weak,True,proactive,specific,False,graceful,in_flight_followup
call_057,demo_booked,rep_09,mid,Mexican,full_service,3,12,False,True,detailed,strong,specific_findings,before_pitch,True,True,False,True,implicit,paraphrased,not_mentioned,not_raised,specific,specific_numbers,not_raised,not_raised,True,not_applicable,specific,False,not_applicable,inbound_followup
call_006,demo_booked,rep_15,new,Mexican,quick_service,4,16,False,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,not_reached,False,not_applicable,other
call_003,demo_booked,rep_09,mid,Mexican,quick_service,21,1,False,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,not_reached,False,graceful,other
call_008,demo_booked,rep_09,mid,Mexican,full_service,2,3,False,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,not_reached,False,not_applicable,confirmation
call_071,demo_booked,rep_12,new,Mexican,full_service,1,14,False,False,not_used,not_needed,not_used,before_pitch,False,False,True,True,implicit,paraphrased,not_mentioned,not_raised,not_used,none,reactive,not_raised,False,not_applicable,specific,False,not_applicable,inbound_followup
call_047,demo_booked,rep_06,mid,Mexican,full_service,3,6,True,False,not_used,not_needed,specific_findings,before_pitch,False,False,False,True,implicit,paraphrased,not_mentioned,reactive_generic,specific,none,not_applicable,not_raised,True,not_applicable,open_ended,False,not_applicable,inbound_followup
call_002,demo_booked,rep_11,new,Mexican,full_service,1,2,True,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,specific,False,not_applicable,confirmation
call_060,demo_booked,rep_06,mid,Mexican,full_service,1,2,False,True,detailed,weak,generic,after_pitch,False,False,False,True,implicit,not_mirrored,generic,proactive_reframe,not_used,generic,reactive,not_raised,False,not_applicable,specific,False,graceful,cold_outreach
call_080,demo_booked,rep_05,senior,Mexican,full_service,1,8,True,True,detailed,weak,specific_findings,after_pitch,False,False,False,True,none,not_mirrored,generic,proactive_reframe,specific,specific_numbers,not_raised,not_raised,False,not_applicable,specific,False,not_applicable,in_flight_followup
call_058,demo_booked,rep_12,new,Mexican,full_service,1,25,True,False,not_used,not_needed,specific_findings,after_pitch,True,False,False,False,implicit,paraphrased,generic,reactive_generic,specific,none,reactive,weak,False,not_applicable,not_reached,False,not_applicable,inbound_followup
call_061,demo_booked,rep_09,mid,Southern,full_service,1,4,False,False,not_used,not_needed,generic,before_pitch,False,True,True,True,implicit,paraphrased,not_mentioned,not_raised,not_used,none,reactive,not_raised,False,not_applicable,open_ended,False,not_applicable,confirmation
call_062,demo_booked,rep_07,mid,Southern,full_service,1,2,False,False,not_used,not_needed,generic,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,generic,none,not_applicable,not_raised,False,not_applicable,specific,True,graceful,inbound_followup
call_055,demo_booked,rep_12,new,Southern,full_service,1,3,False,False,not_used,not_needed,not_used,before_pitch,False,False,False,True,implicit,not_mirrored,not_mentioned,not_raised,generic,none,not_applicable,not_raised,False,not_applicable,not_reached,False,not_applicable,confirmation
call_005,demo_booked,rep_09,mid,Thai,full_service,1,2,True,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,specific,True,not_applicable,inbound_followup
call_015,demo_booked,rep_01,senior,unknown,unknown,1,4,True,False,not_used,no_pivot,not_used,before_pitch,False,False,True,False,implicit,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,True,not_applicable,open_ended,False,graceful,in_flight_followup
call_010,demo_booked,rep_01,senior,unknown,unknown,1,3,True,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,open_ended,False,graceful,in_flight_followup
call_007,demo_booked,rep_01,senior,unknown,unknown,1,2,True,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,specific,False,not_applicable,in_flight_followup
call_049,demo_booked,,mid,unknown,full_service,1,3,False,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,specific,False,not_applicable,in_flight_followup
call_051,demo_booked,rep_01,senior,unknown,unknown,1,11,True,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,reactive,not_raised,False,proactive,specific,True,not_applicable,in_flight_followup
call_001,demo_booked,rep_03,senior,unknown,full_service,2,3,True,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,generic,reactive_generic,not_used,none,not_raised,weak,False,not_applicable,not_reached,False,graceful,in_flight_followup
call_011,demo_booked,rep_01,senior,unknown,unknown,1,2,True,False,not_used,not_needed,not_used,none,False,False,False,False,none,not_mirrored,not_mentioned,not_raised,not_used,none,not_applicable,not_raised,False,not_applicable,not_reached,False,graceful,in_flight_followup
